FIRST,LAST,NICKNAME,URL
Fernando,Bettega,,http://ufcstats.com/fighter-details/a524710c3ef918fa
Arjan,Bhullar,,http://ufcstats.com/fighter-details/7e511f8d842a109d
David,Bielkheden,,http://ufcstats.com/fighter-details/1efa064872f089d0
Jonas,Bilharinho,,http://ufcstats.com/fighter-details/ebbf571f349e79d9
Jeremiah,Billington,,http://ufcstats.com/fighter-details/b3b6e80b7d5f8f0d
Scott,Bills,,http://ufcstats.com/fighter-details/53f02bbc41d99432
Angad,Bisht,,http://ufcstats.com/fighter-details/7b4ae3fd439a05b6
Amaury,Bitetti,,http://ufcstats.com/fighter-details/7a359ef685a304a7
Simon,Biyong,,http://ufcstats.com/fighter-details/27ab7257bf6a3b65
Jan,Blachowicz,,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8
Jason,Blackford,,http://ufcstats.com/fighter-details/619d807fa54ae8f7
Tom,Blackledge,,http://ufcstats.com/fighter-details/2adb11835acd815b
David,Blanco,,http://ufcstats.com/fighter-details/ebf298f8ac7e232b
Tereza,Bleda,,http://ufcstats.com/fighter-details/59c438c81fbf3ece
Byron,Bloodworth,,http://ufcstats.com/fighter-details/ecdf14f4f8643d39
Dan,Bobish,,http://ufcstats.com/fighter-details/f348d05403fad037
Mark,Bocek,,http://ufcstats.com/fighter-details/cf9d24e4bd0cf2ce
James,Bochnovic,,http://ufcstats.com/fighter-details/984d15d5dc7bfcf9
Jeremy,Boczulak,,http://ufcstats.com/fighter-details/1afd74f8cb0719f3
Galore,Bofando,,http://ufcstats.com/fighter-details/8a56ea383fd26e52
Jay,Bogan,,http://ufcstats.com/fighter-details/53c21779d84ceb75
Roman,Bogatov,,http://ufcstats.com/fighter-details/d61316139d68dbe3
Jerry,Bohlander,,http://ufcstats.com/fighter-details/93892752c5fc23ca
Kotetsu,Boku,,http://ufcstats.com/fighter-details/d227958e8a0c1466
Kyle,Bolt,,http://ufcstats.com/fighter-details/9d455d5cfe6a0e35
Luc,Bondole,,http://ufcstats.com/fighter-details/8691881b31c16b88
Rogerio,Bontorin,,http://ufcstats.com/fighter-details/07a2bdaa0afdd831
Igor,Borisov,,http://ufcstats.com/fighter-details/0313bf497de9c470
Calen,Born,,http://ufcstats.com/fighter-details/3c85e04b08a05751
Chris,Bostick,,http://ufcstats.com/fighter-details/239224bedeb2c7a4
Poliana,Botelho,,http://ufcstats.com/fighter-details/5c126c6aac3ef364
Gregory,Bouchelaghem,,http://ufcstats.com/fighter-details/59851163aaf1aed8
Rich,Bouphanouvong,,http://ufcstats.com/fighter-details/611b9c068c9e2c44
Jess,Bouscal,,http://ufcstats.com/fighter-details/38b1417ec17072da
Tai,Bowden,,http://ufcstats.com/fighter-details/2efbc83a6b9b7f86
Brian,Bowles,,http://ufcstats.com/fighter-details/b26d3e3746fb4024
Blake,Bowman,,http://ufcstats.com/fighter-details/a95a0504fd73bd3e
Colley ,Bradford,,http://ufcstats.com/fighter-details/1433786ac76cf777
Kyle,Bradley,,http://ufcstats.com/fighter-details/a6959da32f0e6b5d
Sean,Brady,,http://ufcstats.com/fighter-details/45f7cb591c3ab00b
Ramiz,Brahimaj,,http://ufcstats.com/fighter-details/3d074044a33825e7
