EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL
UFC 24: First Defense ,Shonie Carter  vs. Brad Gumm ,W/L,Lightweight Bout,Decision - Unanimous ,2,5:00,2 Rnd (5-5),Dan Severn,,http://ufcstats.com/fight-details/77f9b97f62f373b0
UFC 23: Ultimate Japan 2 ,Kevin Randleman  vs. Pete Williams ,W/L,UFC Heavyweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,,http://ufcstats.com/fight-details/2ab41c5519d0b1b9
UFC 23: Ultimate Japan 2 ,Kenichi Yamamoto  vs. Daiju Takase ,W/L,Open Weight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,,http://ufcstats.com/fight-details/a4e592c874e8233f
UFC 22: Only One Can be Champion ,Tim Lajcik  vs. Ron Waterman ,D/D,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),John McCarthy,,http://ufcstats.com/fight-details/96c247ba0eb1ac65
UFC 22: Only One Can be Champion ,Matt Hughes  vs. Valeri Ignatov ,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),John McCarthy,,http://ufcstats.com/fight-details/d9e86958bcb15c26
UFC 22: Only One Can be Champion ,Jens Pulver  vs. Alfonso Alcarez ,D/D,Lightweight Bout,Decision - Majority ,2,5:00,2 Rnd (5-5),,,http://ufcstats.com/fight-details/a1c1e3c1e9c6cf1e
UFC 21: Return of the Champions ,Travis Fulton  vs. David Dodd ,W/L,Heavyweight Bout,Decision - Unanimous ,2,5:00,2 Rnd (5-5),John McCarthy,,http://ufcstats.com/fight-details/1db8bed8b4d30fb3
UFC 20: Battle for the Gold ,Bas Rutten  vs. Kevin Randleman ,W/L,UFC Heavyweight Title Bout,Decision - Split ,3,3:00,1 Rnd + 2OT (15-3-3),John McCarthy,,http://ufcstats.com/fight-details/73c07530f667289f
UFC 19: Ultimate Young Guns ,Kevin Randleman  vs. Maurice Smith ,W/L,Heavyweight Bout,Decision - Unanimous ,2,3:00,1 Rnd + OT (12-3),John McCarthy,,http://ufcstats.com/fight-details/997753de17f81e3a
UFC 18: The Road to the Heavyweight Title ,Pat Miletich  vs. Jorge Patino ,W/L,UFC Welterweight Title Bout,Decision - Unanimous ,3,3:00,1 Rnd + 2OT (15-3-3),John McCarthy,,http://ufcstats.com/fight-details/453118d7f05be814
UFC 18: The Road to the Heavyweight Title ,Pedro Rizzo  vs. Mark Coleman ,W/L,Heavyweight Bout,Decision - Split ,2,3:00,1 Rnd + OT (12-3),John McCarthy,,http://ufcstats.com/fight-details/86090172facd6cf7
UFC 18: The Road to the Heavyweight Title ,Mikey Burnett  vs. Townsend Saunders ,W/L,Lightweight Bout,Decision - Unanimous ,2,3:00,1 Rnd + OT (12-3),Tony Mullinax,,http://ufcstats.com/fight-details/48fccedc8889a473
UFC 17: Redemption ,Dan Henderson  vs. Carlos Newton ,W/L,UFC 17 Middleweight Tournament Title Bout,Decision - Split ,2,3:00,1 Rnd + OT (12-3),John McCarthy,,http://ufcstats.com/fight-details/17526cb9fb6072ef
