FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,UFC_URL,MMADECISIONS_URL
Luiz Dutra,"71.00""",170.00 lbs.,,,,http://ufcstats.com/fighter-details/063649e21bc9d6d5,
Ben Earwood,"0.00""",169.00 lbs.,,,,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,
Cody East,"75.00""",261.00 lbs.,"74.00""",,,,
Abdul-Kerim Edilov,"74.00""",204.00 lbs.,"78.00""",,,,
Tom Egan,"71.00""",169.00 lbs.,,,,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,
Justin Eilers,"73.00""",232.00 lbs.,,,,http://ufcstats.com/fighter-details/bf0e700106d00e55,
Jon Olav Einemo,,,,,,,
Per Eklund,"70.00""",155.00 lbs.,,,,,
Lisa Ellis,"64.00""",115.00 lbs.,"62.00""",,,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,
Anna Elmose,"63.00""",116.00 lbs.,"65.00""",,,,
Ian Entwistle,"66.00""",139.00 lbs.,"64.00""",,,,
Konstantin Erokhin,"70.00""",230.00 lbs.,"73.00""",,,,
Fred Ettish,"0.00""",0.00 lbs.,,,,,
Doug Evans,"69.00""",155.00 lbs.,,,,,
Dan Evensen,"75.00""",242.00 lbs.,,,,http://ufcstats.com/fighter-details/e4ba58725825412d,
Edward Faaloloto,"69.00""",155.00 lbs.,,,,,
Ron Faircloth,"0.00""",205.00 lbs.,,,,,
Jason Fairn,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,
Rinat Fakhretdinov,"72.00""",171.00 lbs.,"74.00""",,,,
Maiquel Falcao,"71.00""",185.00 lbs.,,,,,
Brodie Farber,"0.00""",174.00 lbs.,,,,,
Kalindra Faria,"67.00""",125.00 lbs.,"63.00""",,,http://ufcstats.com/fighter-details/e87a13e02c01331d,
Kelly Faszholz,"68.00""",134.50 lbs.,"67.00""",,,,
Josh Ferguson,"65.00""",125.00 lbs.,,,,http://ufcstats.com/fighter-details/0c1a04afca64e38f,
CJ Fernandes,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/cad24459b28592ca,
Alexandre Ferreira,"67.00""",204.00 lbs.,,,,http://ufcstats.com/fighter-details/20821819c401ced8,
Scott Ferrozzo,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/2620f3eb21c79614,
Scott Fiedler,,,,,,http://ufcstats.com/fighter-details/2620f3eb21c79614,
Colin Fletcher,"74.00""",155.00 lbs.,,,,http://ufcstats.com/fighter-details/047a91d3d9c79b05,
Xavier Foupa-Pokam,"73.00""",186.00 lbs.,,,,,
Zane Frazier,"78.00""",230.00 lbs.,,,,,
Ian Freeman,"71.00""",220.00 lbs.,,,,,
Willamy Freire,,,,,,,
Don Frye,"73.00""",210.00 lbs.,,,,,
Tony Fryklund,,,,,,,
Katsuhisa Fujii,,,,,,,
Travis Fulton,"0.00""",0.00 lbs.,,,,,
Sam Fulton,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/0e9869d712e81f8f,
Sheila Gaff,"65.00""",135.00 lbs.,"62.00""",,,,
Dave Galera,"71.00""",136.00 lbs.,,,,,
Tom Gallicchio,"70.00""",170.00 lbs.,"73.00""",,,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,
Joey Gambino,"67.00""",146.00 lbs.,,,,http://ufcstats.com/fighter-details/30ad2050273d016a,
Sean Gannon,"75.00""",265.00 lbs.,,,,http://ufcstats.com/fighter-details/e741536153227386,
Azamat Gashimov,"66.00""",126.00 lbs.,,,,http://ufcstats.com/fighter-details/a373085066dbfb54,
Brian Gassaway,"73.00""",170.00 lbs.,,,,,
Paul Georgieff,"74.00""",170.00 lbs.,,,,http://ufcstats.com/fighter-details/1e13936d708bcff7,
